project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Csv,20_sigmuid,0.47913873690295333,0.47913873690295333,1.0,96,0.2,0.47913873690295333,50.0,50.0,0.5,50.0,2,1,1,ranked 2,ranked 3
Csv,40_sigmuid,0.48134812910302965,0.48134812910302965,1.0,96,0.2,0.48134812910302965,50.0,50.0,0.5,50.0,2,1,1,ranked 26,ranked 1
Csv,60_sigmuid,0.6451180368113533,0.6451180368113533,0.0,96,0.2,0.6451180368113533,0.0,0.0,0.0,0.0,2,1,1,ranked 5,ranked 8
Csv,80_sigmuid,0.6109296840094444,0.6109296840094444,0.0,96,0.2,0.6109296840094444,0.0,0.0,0.0,0.0,2,1,1,ranked 8,ranked 15
Csv,100_sigmuid,0.5780018932962465,0.5780018932962465,0.0,96,0.2,0.5780018932962465,0.0,0.0,0.0,0.0,2,1,1,ranked 20,ranked 16
Csv,120_sigmuid,0.9239262473072329,0.9239262473072329,0.0,96,0.2,0.9239262473072329,0.0,0.0,0.0,0.0,2,1,1,ranked 14,ranked 5
Csv,140_sigmuid,0.5965188035546457,0.5965188035546457,0.0,96,0.2,0.5965188035546457,0.0,0.0,0.0,0.0,2,1,1,ranked 22,ranked 26
Csv,160_sigmuid,0.5451443396554464,0.5451443396554464,0.0,96,0.2,0.5451443396554464,0.0,0.0,0.0,0.0,2,1,1,ranked 3,ranked 14
Csv,180_sigmuid,0.6521748505599957,0.6521748505599957,0.0,96,0.2,0.6521748505599957,0.0,0.0,0.0,0.0,2,1,1,ranked 11,ranked 4
Csv,200_sigmuid,0.45323373032002967,0.45323373032002967,1.0,96,0.2,0.45323373032002967,50.0,50.0,0.5,50.0,2,1,1,ranked 9,ranked 19
Csv,220_sigmuid,0.7766192231443773,0.7766192231443773,0.0,96,0.2,0.7766192231443773,0.0,0.0,0.0,0.0,2,1,1,ranked 23,ranked 12
Csv,240_sigmuid,0.48123369977982916,0.48123369977982916,1.0,96,0.2,0.48123369977982916,50.0,50.0,0.5,50.0,2,1,1,ranked 24,ranked 30
Csv,260_sigmuid,0.7311171318935061,0.7311171318935061,0.0,96,0.2,0.7311171318935061,0.0,0.0,0.0,0.0,2,1,1,ranked 25,ranked 23
Csv,280_sigmuid,0.5731033045951256,0.5731033045951256,0.0,96,0.2,0.5731033045951256,0.0,0.0,0.0,0.0,2,1,1,ranked 21,ranked 7
Csv,300_sigmuid,0.6087694029366159,0.6087694029366159,0.0,96,0.2,0.6087694029366159,0.0,0.0,0.0,0.0,2,1,1,ranked 6,ranked 29
Csv,320_sigmuid,0.8821429681393474,0.8821429681393474,0.0,96,0.2,0.8821429681393474,0.0,0.0,0.0,0.0,2,1,1,ranked 27,ranked 9
Csv,340_sigmuid,0.46727153935891635,0.46727153935891635,1.0,96,0.2,0.46727153935891635,50.0,50.0,0.5,50.0,2,1,1,ranked 12,ranked 13
Csv,360_sigmuid,0.6476638105947647,0.6476638105947647,0.0,96,0.2,0.6476638105947647,0.0,0.0,0.0,0.0,2,1,1,ranked 13,ranked 10
Csv,380_sigmuid,0.5078019592919023,0.5078019592919023,0.0,96,0.2,0.5078019592919023,0.0,0.0,0.0,0.0,2,1,1,ranked 15,ranked 17
Csv,400_sigmuid,0.7616741350536216,0.7616741350536216,0.0,96,0.2,0.7616741350536215,0.0,0.0,0.0,0.0,2,1,1,ranked 18,ranked 11
Csv,420_sigmuid,0.8286887822181618,0.8286887822181618,0.0,96,0.2,0.8286887822181618,0.0,0.0,0.0,0.0,2,1,1,ranked 29,ranked 18
Csv,440_sigmuid,0.5015600470642323,0.5015600470642323,0.0,96,0.2,0.5015600470642323,0.0,0.0,0.0,0.0,2,1,1,ranked 16,ranked 6
Csv,460_sigmuid,0.5571290215802325,0.5571290215802325,0.0,96,0.2,0.5571290215802325,0.0,0.0,0.0,0.0,2,1,1,ranked 28,ranked 25
Csv,480_sigmuid,0.6092218712795148,0.6092218712795148,0.0,96,0.2,0.6092218712795148,0.0,0.0,0.0,0.0,2,1,1,ranked 10,ranked 24
Csv,500_sigmuid,0.5715611332686434,0.5715611332686434,0.0,96,0.2,0.5715611332686434,0.0,0.0,0.0,0.0,2,1,1,ranked 17,ranked 28
Csv,520_sigmuid,0.5031260341125404,0.5031260341125404,0.0,96,0.2,0.5031260341125404,0.0,0.0,0.0,0.0,2,1,1,ranked 1,ranked 2
