project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,0.4,0,0.6390320529387413,0.6390320529387413,0.0,444,0.2,0.6390320529387413,0.0,0.0,0.0,0.0,135,1,1
Net,0.4,0.1,0.48675611947507597,0.48675611947507597,0.0,444,0.2,0.48675611947507597,0.0,0.0,0.0,0.0,135,1,1
Net,0.4,0.2,0.33993376734632186,0.33993376734632186,0.0,444,0.2,0.33993376734632186,0.0,0.0,0.0,0.0,135,1,1
Net,0.4,0.3,0.22269350195391077,0.22269350195391077,0.0,444,0.2,0.22269350195391077,0.0,0.0,0.0,0.0,135,1,1
Net,0.4,0.4,0.13877901108420523,0.13877901108420523,4.0,444,0.2,0.13877901108420523,80.0,80.0,0.8,80.0,135,1,1
Net,0.4,0.5,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.5,0,0.7412921682423974,0.7412921682423974,0.0,444,0.2,0.7412921682423974,0.0,0.0,0.0,0.0,135,1,1
Net,0.5,0.1,0.605525483790078,0.605525483790078,0.0,444,0.2,0.605525483790078,0.0,0.0,0.0,0.0,135,1,1
Net,0.5,0.2,0.45461046268002286,0.45461046268002286,0.0,444,0.2,0.45461046268002286,0.0,0.0,0.0,0.0,135,1,1
Net,0.5,0.3,0.3168018759273467,0.3168018759273467,0.0,444,0.2,0.3168018759273467,0.0,0.0,0.0,0.0,135,1,1
Net,0.5,0.4,0.20686315391037108,0.20686315391037108,0.0,444,0.2,0.20686315391037105,0.0,0.0,0.0,0.0,135,1,1
Net,0.5,0.5,0.1394619914804778,0.1394619914804778,4.0,444,0.2,0.1394619914804778,80.0,80.0,0.8,80.0,135,1,1
Net,0.5,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.5,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.5,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.5,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.5,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.6,0,0.8096060411648722,0.8096060411648722,0.0,444,0.2,0.8096060411648722,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.1,0.6949361775201942,0.6949361775201942,0.0,444,0.2,0.6949361775201942,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.2,0.5529748174186162,0.5529748174186162,0.0,444,0.2,0.5529748174186162,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.3,0.4076348576369181,0.4076348576369181,0.0,444,0.2,0.4076348576369181,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.4,0.2790494790473282,0.2790494790473282,0.0,444,0.2,0.2790494790473282,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.5,0.1938775639752378,0.1938775639752378,0.0,444,0.2,0.1938775639752378,0.0,0.0,0.0,0.0,135,1,1
Net,0.6,0.6,0.14028011652558553,0.14028011652558553,4.0,444,0.2,0.14028011652558553,80.0,80.0,0.8,80.0,135,1,1
Net,0.6,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.6,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.6,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.6,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.7,0,0.8509563052822746,0.8509563052822746,0.0,444,0.2,0.8509563052822746,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.1,0.7536115883098801,0.7536115883098801,0.0,444,0.2,0.7536115883098801,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.2,0.6241889018121233,0.6241889018121233,0.0,444,0.2,0.6241889018121233,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.3,0.48023966650069394,0.48023966650069394,0.0,444,0.2,0.48023966650069394,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.4,0.3419733773699194,0.3419733773699194,0.0,444,0.2,0.3419733773699194,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.5,0.24409838053850746,0.24409838053850746,0.0,444,0.2,0.24409838053850746,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.6,0.17971251062828816,0.17971251062828816,0.0,444,0.2,0.17971251062828816,0.0,0.0,0.0,0.0,135,1,1
Net,0.7,0.7,0.14108858813462857,0.14108858813462857,4.0,444,0.2,0.14108858813462857,80.0,80.0,0.8,80.0,135,1,1
Net,0.7,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.7,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.7,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.4,0,0.3073506522903455,0.3073506522903455,0.0,566,0.2,0.3073506522903455,0.0,0.0,0.0,0.0,70,1,3
Net,0.4,0.1,0.1920818894979297,0.1920818894979297,0.0,566,0.2,0.1920818894979297,0.0,0.0,0.0,0.0,70,1,3
Net,0.4,0.2,0.11436713915126519,0.11436713915126519,0.0,566,0.2,0.1143671391512652,0.0,0.0,0.0,0.0,70,1,3
